import time: self [us] | cumulative | imported package
import time:       171 |        171 |                   rich.theme
import time:       144 |       4487 |                 rich.themes
import time:       244 |        244 |                 rich._emoji_replace
import time:       128 |        128 |                 rich._export_format
import time:       156 |        156 |                 rich._fileno
import time:       206 |        206 |                     rich._loop
import time:       132 |        132 |                     rich._pick
import time:       164 |        164 |                           rich._unicode_data._versions
import time:       182 |        345 |                         rich._unicode_data
import time:       382 |        727 |                       rich.cells
import time:       171 |        898 |                     rich._wrap
import time:       945 |        945 |                           rich.segment
import time:       225 |       1169 |                         rich.jupyter
import time:       196 |        196 |                           rich.protocol
import time:       168 |        364 |                         rich.measure
import time:       151 |       1682 |                       rich.constrain
import time:       307 |       1989 |                     rich.align
import time:       208 |        208 |                     rich.containers
import time:       173 |        173 |                     rich.control
import time:       240 |        240 |                     rich.emoji
import time:       726 |       4570 |                   rich.text
import time:       191 |       4760 |                 rich._log_render
import time:       320 |        320 |                 rich.highlighter
import time:       352 |        352 |                 rich.markup
import time:       242 |        242 |                 rich.pager
import time:       243 |        243 |                 rich.region
import time:       150 |        150 |                 rich.screen
import time:       139 |        139 |                 rich.styled
import time:      1732 |      13926 |               rich.console
import time:       665 |        665 |                 mmap
import time:       241 |        241 |                 rich.filesize
import time:       372 |        372 |                     rich.ansi
import time:       217 |        588 |                   rich.file_proxy
import time:       250 |        250 |                   rich.live_render
import time:       300 |       1137 |                 rich.live
import time:       218 |        218 |                 rich.progress_bar
import time:       458 |        458 |                   rich._spinners
import time:       431 |        431 |                     rich.box
import time:       918 |        918 |                           _decimal
import time:       174 |       1092 |                         decimal
import time:       547 |       1638 |                       fractions
import time:       154 |       1792 |                     rich._ratio
import time:       166 |        166 |                     rich.padding
import time:       967 |       3355 |                   rich.table
import time:       177 |       3989 |                 rich.spinner
import time:      1627 |       7874 |               rich.progress
import time:       362 |        362 |                   pygments.filter
import time:       236 |        236 |                     pygments.token
import time:       271 |        507 |                   pygments.filters
import time:       200 |        200 |                   pygments.regexopt
import time:       458 |       1525 |                 pygments.lexer
import time:       193 |        193 |                 pygments.style
import time:       203 |        203 |                   pygments.styles._mapping
import time:       216 |        418 |                 pygments.styles
import time:       544 |       2679 |               rich.syntax
import time:       507 |      38535 |             httpx._main
import time:       233 |      51006 |           httpx
import time:       183 |        183 |             authlib.oauth2.rfc7521.client
import time:       173 |        355 |           authlib.oauth2.rfc7521
import time:       160 |        160 |             authlib.oauth2.rfc7523.assertion
import time:       204 |        204 |               authlib.oauth2.rfc7523.client
import time:       144 |        348 |             authlib.oauth2.rfc7523.auth
import time:       245 |        245 |             authlib.oauth2.rfc7523.jwt_bearer
import time:       201 |        201 |             authlib.oauth2.rfc7523.token
import time:       241 |        241 |             authlib.oauth2.rfc7523.validator
import time:       217 |       1408 |           authlib.oauth2.rfc7523
import time:       122 |        122 |             authlib.integrations.httpx_client.utils
import time:       300 |        422 |           authlib.integrations.httpx_client.oauth2_client
import time:       238 |      53427 |         authlib.integrations.httpx_client.assertion_client
import time:       152 |        152 |           authlib.oauth1.client
import time:       230 |        382 |         authlib.integrations.httpx_client.oauth1_client
import time:       561 |      63427 |       authlib.integrations.httpx_client
import time:       196 |     108357 |     authlib.integrations.starlette_client.apps
import time:       123 |        123 |     authlib.integrations.starlette_client.integration
import time:       638 |     185978 |   authlib.integrations.starlette_client
import time:        45 |         45 |     backend.app.core
import time:       599 |        599 |       pydantic_settings.exceptions
import time:       623 |        623 |         argparse
import time:      1067 |       1067 |                   pydantic_core._pydantic_core
import time:      4816 |       4816 |                   pydantic_core.core_schema
import time:       369 |       6252 |                 pydantic_core
import time:       192 |       6444 |               pydantic.version
import time:       284 |       6727 |             pydantic.warnings
import time:       299 |       7026 |           pydantic._migration
import time:       212 |        212 |               typing_inspection
import time:       691 |        691 |               typing_inspection.typing_objects
import time:       441 |       1343 |             typing_inspection.introspection
import time:       224 |        224 |             pydantic._internal
import time:       298 |        298 |                 pydantic._internal._namespace_utils
